Timestamp,Milliseconds,Illuminance
2021-06-04 19:46:37,6,26.0
2021-06-04 19:46:37,103,25.0
2021-06-04 19:46:37,202,21.0
2021-06-04 19:46:37,303,20.0
2021-06-04 19:46:38,402,19.0
2021-06-04 19:46:38,502,15.0
2021-06-04 19:46:38,602,11.0
2021-06-04 19:46:38,703,7.0
2021-06-04 19:46:38,802,5.0
2021-06-04 19:46:38,903,4.0
2021-06-04 19:46:38,1002,3.0
2021-06-04 19:46:38,1102,4.0
2021-06-04 19:46:38,1202,4.0
2021-06-04 19:46:38,1302,5.0
2021-06-04 19:46:39,1403,5.0
2021-06-04 19:46:39,1502,5.0
2021-06-04 19:46:39,1602,8.0
2021-06-04 19:46:39,1703,9.0
2021-06-04 19:46:39,1802,11.0
2021-06-04 19:46:39,1902,15.0
2021-06-04 19:46:39,2002,39.0
2021-06-04 19:46:39,2103,6.0
2021-06-04 19:46:39,2202,0.0
2021-06-04 19:46:39,2302,0.0
2021-06-04 19:46:40,2403,0.0
2021-06-04 19:46:40,2503,0.0
2021-06-04 19:46:40,2602,0.0
2021-06-04 19:46:40,2703,0.0
2021-06-04 19:46:40,2802,0.0
2021-06-04 19:46:40,2903,0.0
2021-06-04 19:46:40,3002,0.0
2021-06-04 19:46:40,3102,0.0
2021-06-04 19:46:40,3202,0.0
2021-06-04 19:46:40,3303,0.0
2021-06-04 19:46:41,3402,0.0
2021-06-04 19:46:41,3502,0.0
2021-06-04 19:46:41,3602,0.0
2021-06-04 19:46:41,3702,0.0
2021-06-04 19:46:41,3802,0.0
2021-06-04 19:46:41,3902,0.0
2021-06-04 19:46:41,4002,0.0
2021-06-04 19:46:41,4102,0.0
2021-06-04 19:46:41,4202,0.0
2021-06-04 19:46:41,4303,0.0
2021-06-04 19:46:42,4402,0.0
2021-06-04 19:46:42,4502,0.0
2021-06-04 19:46:42,4602,0.0
2021-06-04 19:46:42,4702,0.0
2021-06-04 19:46:42,4802,0.0
2021-06-04 19:46:42,4902,0.0
2021-06-04 19:46:42,5002,0.0
2021-06-04 19:46:42,5102,0.0
2021-06-04 19:46:42,5203,0.0
2021-06-04 19:46:42,5302,0.0
