,label,label_start_datetime,label_end_datetime
0,Cycling,2021-06-04 20:59:49,2021-06-04 21:17:24
1,OnTable,2021-06-04 20:48:22,2021-06-04 20:59:45
2,ScreenTime,2021-06-04 21:17:28,2021-06-04 21:29:08
3,Sitting,2021-06-04 19:24:49,2021-06-04 19:46:16
4,Sitting,2021-06-04 20:04:51,2021-06-04 20:39:01
5,Walking,2021-06-04 19:15:25,2021-06-04 19:24:25
6,Walking,2021-06-04 20:39:27,2021-06-04 20:48:16
7,Yardwork,2021-06-04 19:46:37,2021-06-04 20:04:32
