Timestamp,Milliseconds,X,Y,Z
2021-06-03 19:59:55,3,0.2685716,-0.70867854,-0.383134
2021-06-03 19:59:55,11,0.5125169,-0.83544487,-0.22121395
2021-06-03 19:59:55,21,0.70426434,-0.9739291,-0.06781601
2021-06-03 19:59:55,31,0.80972546,-1.0378449,0.015274547
2021-06-03 19:59:55,42,0.8406181,-1.0282575,0.017405074
2021-06-03 19:59:55,51,0.82037807,-0.94729763,-0.026270729
2021-06-03 19:59:55,61,0.79800755,-0.87912077,-0.051837053
2021-06-03 19:59:55,71,0.72024333,-0.6639375,-0.12214445
2021-06-03 19:59:55,81,0.67337173,-0.49775636,-0.15623288
2021-06-03 19:59:55,91,0.6829591,-0.37205526,-0.20416974
2021-06-03 19:59:55,101,0.76072335,-0.31240052,-0.2808687
2021-06-03 19:59:55,111,0.89388126,-0.37525105,-0.40763506
2021-06-03 19:59:55,121,1.0217128,-0.5755206,-0.5503804
2021-06-03 19:59:55,131,1.1026728,-0.7917691,-0.63027513
2021-06-03 19:59:55,141,1.1207824,-0.92066604,-0.6366667
2021-06-03 19:59:55,151,0.98762447,-1.0559543,-0.56209826
2021-06-03 19:59:55,162,0.69361174,-1.3765987,-0.53759724
2021-06-03 19:59:55,171,0.45073164,-1.4831251,-0.5589025
2021-06-03 19:59:55,181,0.30052948,-1.2061565,-0.51948774
2021-06-03 19:59:55,191,0.28455055,-1.0729986,-0.5471846
2021-06-03 19:59:55,201,0.26004946,-1.1198702,-0.82202256
2021-06-03 19:59:55,211,0.17269787,-1.4820598,-1.0766206
2021-06-03 19:59:55,222,0.1833505,-1.7238746,-1.162907
2021-06-03 19:59:55,231,0.32716107,-1.5843251,-1.1043174
2021-06-03 19:59:55,241,0.48801586,-1.1827208,-0.9392016
2021-06-03 19:59:55,251,0.5348875,-0.7523543,-0.8166963
2021-06-03 19:59:55,261,0.4667106,-0.3443584,-0.68247306
2021-06-03 19:59:55,271,0.37722847,0.19573018,-0.5035088
2021-06-03 19:59:55,281,0.2589842,0.76777667,-0.113622345
2021-06-03 19:59:55,291,0.16630629,1.136358,0.42327046
2021-06-03 19:59:55,302,0.14180522,1.2791033,0.87920326
2021-06-03 19:59:55,311,0.13754417,1.2535369,1.003839
2021-06-03 19:59:55,321,0.15884943,1.0479411,0.93033594
2021-06-03 19:59:55,331,0.18548103,0.716644,0.59051687
2021-06-03 19:59:55,341,0.21104735,0.3033218,0.11114826
2021-06-03 19:59:55,351,0.25152737,-0.15687205,-0.29471713
2021-06-03 19:59:55,361,0.2973337,-0.65328485,-0.53759724
2021-06-03 19:59:55,372,0.30372527,-1.0453017,-0.6590373
2021-06-03 19:59:55,381,0.25685367,-1.1720681,-0.76662886
2021-06-03 19:59:55,391,0.11623889,-1.1102828,-0.9210921
2021-06-03 19:59:55,401,-0.03502853,-0.93238384,-0.9850079
2021-06-03 19:59:55,411,-0.27577808,-0.71080905,-1.045728
2021-06-03 19:59:55,422,-0.6166624,-0.5361058,-1.0606416
2021-06-03 19:59:55,432,-0.8797825,-0.48284268,-1.0542501
2021-06-03 19:59:55,441,-0.9618078,-0.4498195,-0.98713845
2021-06-03 19:59:55,451,-0.9958963,-0.3209226,-0.8699594
2021-06-03 19:59:55,461,-0.9405025,-0.1462194,-0.6569067
2021-06-03 19:59:55,472,-0.7892351,-0.09295622,-0.27554238
2021-06-03 19:59:55,481,-0.6177277,-0.03649726,0.093038775
2021-06-03 19:59:55,491,-0.36739075,0.22981861,0.5447105
2021-06-03 19:59:55,501,-0.14475067,0.5291577,0.9111612
2021-06-03 19:59:55,512,0.052323084,0.6378146,1.1540412
2021-06-03 19:59:55,521,0.15884943,0.5728335,1.2094349
2021-06-03 19:59:55,532,0.1950684,0.19253439,1.1828033
2021-06-03 19:59:55,541,0.11410836,-0.064194106,1.1231486
2021-06-03 19:59:55,551,-0.010527467,-0.08762991,1.0784075
2021-06-03 19:59:55,562,-0.2896265,0.31397444,1.04858
2021-06-03 19:59:55,571,-0.6038793,0.6015956,0.9931865
2021-06-03 19:59:55,581,-1.1343806,0.6708377,0.75030637
2021-06-03 19:59:55,591,-1.4582206,0.3097134,0.43924943
2021-06-03 19:59:55,601,-1.6947092,-0.14834994,0.16973776
2021-06-03 19:59:55,611,-1.645707,0.16696806,0.36468098
2021-06-03 19:59:55,622,-1.3985659,0.40665236,0.5915821
