"Time (s)","X (µT)","Y (µT)","Z (µT)"
2.749473333E-1,2.460652161E1,-2.177092361E1,-1.799992752E1
2.855973333E-1,2.440371895E1,-2.181045532E1,-1.822672844E1
2.962833333E-1,2.419303322E1,-2.185752106E1,-1.844985199E1
3.069723333E-1,2.398105240E1,-2.191380310E1,-1.865866280E1
3.176543333E-1,2.376788330E1,-2.198508453E1,-1.884661865E1
3.283333333E-1,2.354778862E1,-2.206987000E1,-1.902297783E1
3.390033333E-1,2.354778862E1,-2.206987000E1,-1.902297783E1
3.496843333E-1,2.305665207E1,-2.229841995E1,-1.935516739E1
3.603653333E-1,2.276089668E1,-2.247354126E1,-1.950211906E1
3.710473333E-1,2.244277382E1,-2.269180679E1,-1.961772156E1
3.817283333E-1,2.212493515E1,-2.295010948E1,-1.967818260E1
3.924093333E-1,2.180475426E1,-2.324935722E1,-1.968428802E1
4.030603333E-1,2.148814201E1,-2.357599831E1,-1.964390755E1
4.137533333E-1,2.117381477E1,-2.392524147E1,-1.956280899E1
4.244413333E-1,2.086270142E1,-2.430239105E1,-1.943174171E1
4.350963333E-1,2.055430603E1,-2.470872307E1,-1.924709702E1
4.457833333E-1,2.023372078E1,-2.513514900E1,-1.903344727E1
4.564783333E-1,1.989697456E1,-2.556157494E1,-1.881933784E1
4.671293333E-1,1.955676460E1,-2.597348213E1,-1.861081314E1
4.778283333E-1,1.955676460E1,-2.597348213E1,-1.861081314E1
4.885093333E-1,1.888294029E1,-2.672568130E1,-1.823797226E1
4.991903333E-1,1.855860901E1,-2.706285477E1,-1.807293510E1
5.098413333E-1,1.824773598E1,-2.738431931E1,-1.790447807E1
5.205223333E-1,1.794658089E1,-2.770289993E1,-1.771780968E1
5.311973333E-1,1.762626457E1,-2.802991867E1,-1.752397537E1
5.418853333E-1,1.725455666E1,-2.836704254E1,-1.735057449E1
5.525653333E-1,1.682556534E1,-2.871559143E1,-1.719786072E1
5.632463333E-1,1.633059120E1,-2.907733154E1,-1.706668282E1
5.739273333E-1,1.579702377E1,-2.944101143E1,-1.694497108E1
5.845943333E-1,1.526167774E1,-2.979505539E1,-1.681627083E1
5.952693333E-1,1.472935867E1,-3.014011765E1,-1.667544746E1
6.059703333E-1,1.472935867E1,-3.014011765E1,-1.667544746E1
6.166513333E-1,1.364174461E1,-3.082617760E1,-1.634321785E1
6.273033333E-1,1.314453888E1,-3.116026115E1,-1.611553001E1
6.379843333E-1,1.270537090E1,-3.148736000E1,-1.582943249E1
6.486763333E-1,1.231140232E1,-3.181731415E1,-1.547704887E1
6.593543333E-1,1.192411327E1,-3.215191650E1,-1.508380318E1
6.700273333E-1,1.150608635E1,-3.249207687E1,-1.467399502E1
6.807083333E-1,1.107237434E1,-3.282929230E1,-1.425100327E1
6.913903333E-1,1.063606167E1,-3.315417862E1,-1.382482719E1
7.020713333E-1,1.023889828E1,-3.344479752E1,-1.341870594E1
7.127523333E-1,9.875350952E0,-3.369849014E1,-1.305145073E1
