"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.468033333E-1,-9.817684293E-1,3.761371374E-1,2.075989693E-1
1.574853333E-1,-1.029649973E0,4.417665005E-1,2.398509085E-1
1.681353333E-1,-1.063292623E0,4.072242379E-1,2.888672054E-1
1.788393333E-1,-1.072861791E0,3.387324810E-1,3.351435661E-1
1.895013333E-1,-1.052045345E0,3.136017621E-1,3.762680888E-1
2.001713333E-1,-1.009113312E0,3.267873228E-1,4.111091495E-1
2.108603333E-1,-9.516716003E-1,3.144656718E-1,4.457600713E-1
2.215413333E-1,-8.962631822E-1,2.665471435E-1,4.779565930E-1
2.322223333E-1,-8.466303349E-1,2.013668418E-1,5.089765787E-1
2.429033333E-1,-8.133136630E-1,1.225598902E-1,5.584200621E-1
2.535843333E-1,-7.938563228E-1,2.281997167E-2,6.274659634E-1
2.642663333E-1,-7.942472100E-1,-1.078690812E-1,6.991279125E-1
2.749473333E-1,-8.050702214E-1,-1.616065651E-1,7.551711798E-1
2.855973333E-1,-8.157724142E-1,-1.148600951E-1,8.064660430E-1
2.962833333E-1,-8.218150735E-1,-4.957885295E-2,8.686862588E-1
3.069723333E-1,-8.244169950E-1,4.160457477E-2,9.467226863E-1
3.176543333E-1,-8.300953507E-1,7.875511795E-2,1.017425656E0
3.283333333E-1,-8.058191538E-1,8.818856627E-2,1.086546779E0
3.390033333E-1,-6.989821792E-1,4.508503526E-2,1.164435506E0
3.496843333E-1,-5.442469120E-1,-5.128466338E-2,1.225910068E0
3.603653333E-1,-4.001096785E-1,-3.254481032E-2,1.296158671E0
3.710473333E-1,-2.961190641E-1,1.083355919E-1,1.398641348E0
3.817283333E-1,-1.897191107E-1,2.307549715E-1,1.484035015E0
3.924093333E-1,-6.784111261E-2,2.941744030E-1,1.507112145E0
4.030603333E-1,7.546278834E-2,3.233996630E-1,1.497048855E0
4.137533333E-1,2.281639576E-1,3.798733056E-1,1.506389380E0
4.244413333E-1,3.570569754E-1,4.680268466E-1,1.545241952E0
4.350963333E-1,4.595692754E-1,4.316991866E-1,1.546504259E0
4.457833333E-1,5.182927847E-1,3.379548490E-1,1.499493361E0
4.564783333E-1,5.289326906E-1,2.886911333E-1,1.438458800E0
4.671293333E-1,4.716393054E-1,2.961847186E-1,1.414754987E0
4.778283333E-1,3.451804519E-1,3.529720902E-1,1.414997816E0
4.885093333E-1,2.311670929E-1,4.959596097E-1,1.444418550E0
4.991903333E-1,1.910277009E-1,5.872293115E-1,1.442534924E0
5.098413333E-1,1.948528141E-1,7.014671564E-1,1.469406724E0
5.205223333E-1,1.788046062E-1,7.312732339E-1,1.566992998E0
5.311973333E-1,1.437289566E-1,6.702333689E-1,1.690241098E0
5.418853333E-1,1.385597885E-1,5.789670944E-1,1.803386569E0
