Timestamp,Milliseconds,Illuminance
2021-06-04 21:17:28,4,11.0
2021-06-04 21:17:29,100,12.0
2021-06-04 21:17:29,200,12.0
2021-06-04 21:17:29,300,14.0
2021-06-04 21:17:29,401,14.0
2021-06-04 21:17:29,500,15.0
2021-06-04 21:17:29,600,14.0
2021-06-04 21:17:29,700,15.0
2021-06-04 21:17:29,800,15.0
2021-06-04 21:17:29,901,14.0
2021-06-04 21:17:29,1000,12.0
2021-06-04 21:17:30,1100,9.0
2021-06-04 21:17:30,1200,9.0
2021-06-04 21:17:30,1300,13.0
2021-06-04 21:17:30,1401,14.0
2021-06-04 21:17:30,1501,14.0
2021-06-04 21:17:30,1600,19.0
2021-06-04 21:17:30,1700,19.0
2021-06-04 21:17:30,1800,21.0
2021-06-04 21:17:30,1900,20.0
2021-06-04 21:17:30,2000,21.0
2021-06-04 21:17:31,2100,19.0
2021-06-04 21:17:31,2200,16.0
2021-06-04 21:17:31,2300,13.0
2021-06-04 21:17:31,2400,13.0
2021-06-04 21:17:31,2500,14.0
2021-06-04 21:17:31,2601,16.0
2021-06-04 21:17:31,2700,15.0
2021-06-04 21:17:31,2800,15.0
2021-06-04 21:17:31,2900,14.0
2021-06-04 21:17:31,3000,14.0
2021-06-04 21:17:32,3100,13.0
2021-06-04 21:17:32,3201,11.0
2021-06-04 21:17:32,3301,9.0
2021-06-04 21:17:32,3400,7.0
2021-06-04 21:17:32,3500,7.0
2021-06-04 21:17:32,3601,8.0
2021-06-04 21:17:32,3700,9.0
2021-06-04 21:17:32,3800,14.0
2021-06-04 21:17:32,3901,14.0
2021-06-04 21:17:32,4000,5.0
2021-06-04 21:17:33,4100,5.0
2021-06-04 21:17:33,4200,12.0
2021-06-04 21:17:33,4301,8.0
2021-06-04 21:17:33,4400,4.0
2021-06-04 21:17:33,4500,4.0
2021-06-04 21:17:33,4600,6.0
2021-06-04 21:17:33,4701,12.0
2021-06-04 21:17:33,4801,12.0
2021-06-04 21:17:33,4900,10.0
2021-06-04 21:17:33,5001,8.0
2021-06-04 21:17:34,5100,8.0
2021-06-04 21:17:34,5200,9.0
2021-06-04 21:17:34,5300,8.0
2021-06-04 21:17:34,5401,10.0
2021-06-04 21:17:34,5500,11.0
2021-06-04 21:17:34,5601,25.0
2021-06-04 21:17:34,5700,37.0
2021-06-04 21:17:34,5801,83.0
2021-06-04 21:17:34,5901,79.0
2021-06-04 21:17:34,6000,73.0
2021-06-04 21:17:35,6101,52.0
2021-06-04 21:17:35,6200,51.0
2021-06-04 21:17:35,6301,14.0
2021-06-04 21:17:35,6401,10.0
2021-06-04 21:17:35,6500,10.0
2021-06-04 21:17:35,6601,11.0
2021-06-04 21:17:35,6700,12.0
2021-06-04 21:17:35,6801,9.0
2021-06-04 21:17:35,6900,10.0
2021-06-04 21:17:35,7001,10.0
2021-06-04 21:17:36,7100,11.0
2021-06-04 21:17:36,7200,10.0
2021-06-04 21:17:36,7301,9.0
2021-06-04 21:17:36,7400,10.0
2021-06-04 21:17:36,7501,10.0
2021-06-04 21:17:36,7600,10.0
2021-06-04 21:17:36,7701,10.0
2021-06-04 21:17:36,7800,10.0
2021-06-04 21:17:36,7900,10.0
2021-06-04 21:17:36,8000,10.0
2021-06-04 21:17:37,8100,10.0
2021-06-04 21:17:37,8200,10.0
2021-06-04 21:17:37,8301,11.0
2021-06-04 21:17:37,8400,11.0
2021-06-04 21:17:37,8500,12.0
2021-06-04 21:17:37,8600,11.0
2021-06-04 21:17:37,8700,11.0
2021-06-04 21:17:37,8837,11.0
2021-06-04 21:17:37,8939,11.0
2021-06-04 21:17:38,9037,11.0
2021-06-04 21:17:38,9113,10.0
2021-06-04 21:17:38,9213,10.0
2021-06-04 21:17:38,9313,10.0
2021-06-04 21:17:38,9407,10.0
2021-06-04 21:17:38,9539,10.0
2021-06-04 21:17:38,9639,9.0
2021-06-04 21:17:38,9739,9.0
2021-06-04 21:17:38,9825,9.0
2021-06-04 21:17:38,9915,10.0
2021-06-04 21:17:39,10039,10.0
2021-06-04 21:17:39,10130,10.0
2021-06-04 21:17:39,10233,10.0
2021-06-04 21:17:39,10340,10.0
2021-06-04 21:17:39,10440,10.0
2021-06-04 21:17:39,10540,10.0
2021-06-04 21:17:39,10630,10.0
2021-06-04 21:17:39,10741,10.0
2021-06-04 21:17:39,10821,10.0
2021-06-04 21:17:39,10940,10.0
2021-06-04 21:17:39,11001,10.0
2021-06-04 21:17:40,11139,10.0
2021-06-04 21:17:40,11214,11.0
2021-06-04 21:17:40,11341,13.0
2021-06-04 21:17:40,11440,12.0
2021-06-04 21:17:40,11540,12.0
2021-06-04 21:17:40,11639,11.0
2021-06-04 21:17:40,11740,11.0
2021-06-04 21:17:40,11840,11.0
2021-06-04 21:17:40,11921,10.0
2021-06-04 21:17:41,12040,10.0
2021-06-04 21:17:41,12136,10.0
2021-06-04 21:17:41,12201,10.0
2021-06-04 21:17:41,12340,10.0
2021-06-04 21:17:41,12436,10.0
2021-06-04 21:17:41,12519,10.0
2021-06-04 21:17:41,12639,11.0
2021-06-04 21:17:41,12739,11.0
2021-06-04 21:17:41,12838,10.0
2021-06-04 21:17:41,12929,9.0
2021-06-04 21:17:42,13040,8.0
2021-06-04 21:17:42,13131,7.0
2021-06-04 21:17:42,13240,7.0
2021-06-04 21:17:42,13340,6.0
2021-06-04 21:17:42,13440,6.0
2021-06-04 21:17:42,13539,6.0
2021-06-04 21:17:42,13639,7.0
2021-06-04 21:17:43,14328,7.0
2021-06-04 21:17:43,14328,7.0
2021-06-04 21:17:43,14328,7.0
2021-06-04 21:17:43,14328,7.0
2021-06-04 21:17:43,14328,7.0
2021-06-04 21:17:43,14328,7.0
2021-06-04 21:17:43,14328,7.0
2021-06-04 21:17:43,14440,6.0
2021-06-04 21:17:43,14541,6.0
2021-06-04 21:17:43,14639,7.0
2021-06-04 21:17:43,14739,7.0
2021-06-04 21:17:43,14841,8.0
2021-06-04 21:17:43,14942,10.0
2021-06-04 21:17:44,15039,12.0
2021-06-04 21:17:44,15139,13.0
2021-06-04 21:17:44,15240,12.0
2021-06-04 21:17:44,15339,12.0
2021-06-04 21:17:44,15440,12.0
2021-06-04 21:17:44,15540,11.0
2021-06-04 21:17:44,15618,10.0
2021-06-04 21:17:44,15735,9.0
2021-06-04 21:17:44,15820,7.0
2021-06-04 21:17:44,15940,8.0
2021-06-04 21:17:45,16019,8.0
2021-06-04 21:17:45,16111,7.0
2021-06-04 21:17:45,16239,8.0
2021-06-04 21:17:45,16340,9.0
2021-06-04 21:17:45,16439,6.0
2021-06-04 21:17:45,16541,4.0
2021-06-04 21:17:45,16639,2.0
2021-06-04 21:17:45,16740,2.0
2021-06-04 21:17:45,16839,3.0
2021-06-04 21:17:45,16940,3.0
2021-06-04 21:17:45,17006,2.0
2021-06-04 21:17:46,17140,3.0
2021-06-04 21:17:46,17224,4.0
2021-06-04 21:17:46,17339,5.0
2021-06-04 21:17:46,17433,5.0
2021-06-04 21:17:46,17541,6.0
2021-06-04 21:17:46,17622,6.0
2021-06-04 21:17:46,17741,8.0
2021-06-04 21:17:46,17841,9.0
2021-06-04 21:17:46,17940,10.0
2021-06-04 21:17:47,18040,10.0
2021-06-04 21:17:47,18139,10.0
2021-06-04 21:17:47,18228,10.0
2021-06-04 21:17:47,18339,9.0
2021-06-04 21:17:47,18448,10.0
2021-06-04 21:17:47,18523,10.0
2021-06-04 21:17:47,18640,11.0
2021-06-04 21:17:47,18733,11.0
2021-06-04 21:17:47,18840,12.0
2021-06-04 21:17:47,18914,11.0
2021-06-04 21:17:48,19033,11.0
2021-06-04 21:17:48,19139,10.0
2021-06-04 21:17:48,19216,10.0
2021-06-04 21:17:48,19340,9.0
2021-06-04 21:17:48,19441,9.0
2021-06-04 21:17:48,19540,8.0
2021-06-04 21:17:48,19642,8.0
2021-06-04 21:17:48,19739,8.0
2021-06-04 21:17:48,19840,9.0
2021-06-04 21:17:48,19912,11.0
2021-06-04 21:17:49,20016,14.0
2021-06-04 21:17:49,20125,15.0
2021-06-04 21:17:49,20239,15.0
2021-06-04 21:17:49,20337,12.0
2021-06-04 21:17:49,20439,7.0
2021-06-04 21:17:49,20527,4.0
2021-06-04 21:17:49,20640,2.0
2021-06-04 21:17:49,20739,1.0
2021-06-04 21:17:49,20839,1.0
2021-06-04 21:17:49,20939,1.0
2021-06-04 21:17:50,21040,1.0
2021-06-04 21:17:50,21139,1.0
2021-06-04 21:17:50,21239,1.0
2021-06-04 21:17:50,21339,2.0
2021-06-04 21:17:50,21440,3.0
2021-06-04 21:17:50,21539,2.0
2021-06-04 21:17:50,21628,1.0
2021-06-04 21:17:50,21740,2.0
