"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.268560417E0,2.537500572E1,-3.236736298E1,-1.598588371E1
1.279241417E0,2.569380569E1,-3.281283569E1,-1.449936390E1
1.289925417E0,2.601026917E1,-3.309490585E1,-1.323929024E1
1.300611417E0,2.601026917E1,-3.309490585E1,-1.323929024E1
1.311284417E0,2.611450958E1,-3.359092331E1,-1.169478035E1
1.321965417E0,2.585112762E1,-3.393130875E1,-1.129030800E1
1.332647417E0,2.542573547E1,-3.432679367E1,-1.105843258E1
1.343328417E0,2.491447449E1,-3.476366425E1,-1.085551548E1
1.354009417E0,2.442957687E1,-3.522480774E1,-1.046394920E1
1.364683417E0,2.403881645E1,-3.564292908E1,-9.939951897E0
1.375371417E0,2.384492683E1,-3.595481110E1,-9.260484695E0
1.386052417E0,2.384492683E1,-3.595481110E1,-9.260484695E0
1.396733417E0,2.411827660E1,-3.617936707E1,-7.513183594E0
1.407400417E0,2.451214600E1,-3.610736847E1,-6.519064903E0
1.418085417E0,2.451214600E1,-3.610736847E1,-6.519064903E0
1.428777417E0,2.544228172E1,-3.579433823E1,-4.305959702E0
1.439458417E0,2.570962334E1,-3.574111557E1,-2.945052147E0
1.450139417E0,2.584537506E1,-3.573035812E1,-1.563223839E0
1.460820417E0,2.589984894E1,-3.572291183E1,-3.961629868E-1
1.471495417E0,2.585742760E1,-3.575156784E1,5.515489578E-1
1.482177417E0,2.573207283E1,-3.582414627E1,1.255599022E0
1.492858417E0,2.555601120E1,-3.592912674E1,1.753142357E0
1.503539417E0,2.536667824E1,-3.604404449E1,2.108098030E0
1.514235417E0,2.518190956E1,-3.615954590E1,2.333359718E0
1.524895417E0,2.492901039E1,-3.632362747E1,2.494806290E0
1.535583417E0,2.492901039E1,-3.632362747E1,2.494806290E0
1.546270417E0,2.391527748E1,-3.696654129E1,2.935957909E0
1.556951417E0,2.308617973E1,-3.745386124E1,3.364885330E0
1.567632417E0,2.217936707E1,-3.794565582E1,3.910022736E0
1.578313417E0,2.135596848E1,-3.835860443E1,4.430060387E0
1.588994417E0,2.069172668E1,-3.867061615E1,4.849919319E0
1.599674417E0,2.025329018E1,-3.887171555E1,5.087178230E0
1.610356417E0,2.003705788E1,-3.899372864E1,5.009099007E0
1.621038417E0,1.996732330E1,-3.907314301E1,4.656301498E0
1.631708417E0,2.002650833E1,-3.910046005E1,4.144657135E0
1.642383417E0,2.013844109E1,-3.910343552E1,3.528460503E0
1.653079417E0,2.023006248E1,-3.911196899E1,2.843239784E0
1.663752417E0,2.026950264E1,-3.913817596E1,2.106163979E0
1.674443417E0,2.026950264E1,-3.913817596E1,2.106163979E0
1.685125417E0,2.015625954E1,-3.924282074E1,9.010515213E-1
1.695806417E0,2.019121170E1,-3.922653198E1,8.245439529E-1
1.706487417E0,2.039420128E1,-3.910841370E1,1.301484108E0
1.717168417E0,2.071054840E1,-3.889411545E1,2.325190544E0
1.727848417E0,2.104958916E1,-3.859072113E1,3.841416359E0
1.738530417E0,2.121809959E1,-3.825293732E1,5.795752525E0
1.749210417E0,2.106907845E1,-3.798052216E1,7.788427830E0
1.759879417E0,2.073459053E1,-3.790859222E1,8.949935913E0
1.770564417E0,2.037144661E1,-3.805832291E1,9.146238327E0
1.781245417E0,2.011498451E1,-3.827503967E1,8.803086281E0
1.791929417E0,1.999821663E1,-3.842373276E1,8.412698746E0
1.802617417E0,1.999821663E1,-3.842373276E1,8.412698746E0
1.813298417E0,2.000416946E1,-3.847955322E1,8.138972282E0
1.823980417E0,2.007596207E1,-3.844990158E1,8.102237701E0
1.834630417E0,2.019618988E1,-3.840869141E1,7.998248100E0
1.845311417E0,2.034608078E1,-3.836452484E1,7.828519821E0
1.855992417E0,2.053263092E1,-3.830121613E1,7.649388313E0
1.866674417E0,2.075754356E1,-3.820756531E1,7.509443283E0
