"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.203127917E-1,-1.503873914E-1,-1.956901699E-1,1.425895244E-1
2.309817917E-1,-1.839658618E-1,-1.816604137E-1,1.222839803E-1
2.416567917E-1,-2.552727759E-1,-2.026266903E-1,9.261476249E-2
2.523387917E-1,-3.166479468E-1,-2.339017689E-1,1.063219905E-1
2.630207917E-1,-3.179217279E-1,-3.158562779E-1,1.354505867E-1
2.737017917E-1,-3.020562232E-1,-4.514929354E-1,1.606749892E-1
2.843827917E-1,-2.963357270E-1,-5.433106422E-1,1.641540825E-1
2.950467917E-1,-3.226139247E-1,-6.034917831E-1,2.106243819E-1
3.057447917E-1,-3.954039812E-1,-6.407565475E-1,1.298307329E-1
3.163957917E-1,-4.587754905E-1,-6.841032505E-1,3.310285136E-2
3.270767917E-1,-5.233721137E-1,-7.151471972E-1,-5.385947600E-2
3.377577917E-1,-5.932561159E-1,-7.914933562E-1,-1.201255769E-1
3.484387917E-1,-6.489526629E-1,-8.133121133E-1,-1.317100674E-1
3.591097917E-1,-6.377851963E-1,-8.279520273E-1,3.611968085E-2
3.698017917E-1,-6.038190126E-1,-7.194186449E-1,2.379260361E-1
3.804827917E-1,-6.857471466E-1,-4.860886931E-1,5.032330751E-1
3.911637917E-1,-1.053917646E0,2.602081299E-1,8.185555935E-1
4.018297917E-1,-1.332121849E0,7.399219275E-1,1.194645882E0
4.125277917E-1,-6.541659832E-1,-5.193021297E-1,1.331741929E0
4.231767917E-1,4.238339067E-1,-1.590362310E0,1.138454318E0
4.338577917E-1,1.274411917E0,-2.092328787E0,9.970360398E-1
4.445377917E-1,1.834242702E0,-2.424042463E0,8.079004884E-1
4.552197917E-1,2.145909071E0,-2.043076038E0,3.776942194E-1
4.659007917E-1,1.948249698E0,-1.728383780E0,-1.127103865E-1
4.765827917E-1,1.515523791E0,-1.487002611E0,-5.470583439E-1
4.872637917E-1,9.942492247E-1,-1.074657321E0,-8.621616960E-1
4.979297917E-1,5.637319088E-1,-5.616520643E-1,-1.007740021E0
5.086097917E-1,3.033796847E-1,-2.142901868E-1,-1.039757609E0
5.192967917E-1,2.370363474E-1,-1.646195948E-1,-9.659374952E-1
5.299847917E-1,3.101997674E-1,-3.081030250E-1,-7.855549455E-1
5.406387917E-1,4.623666704E-1,-5.576385260E-1,-5.246179104E-1
5.513197917E-1,6.171181798E-1,-8.427933455E-1,-2.807921767E-1
5.620007917E-1,7.383561730E-1,-1.040644646E0,-9.856937081E-2
