"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.756015417E-1,-1.213083744E0,-5.822743773E-1,2.470760047E-1
2.862825417E-1,-1.076249242E0,-7.765981555E-1,1.954295784E-1
2.969635417E-1,-9.408853054E-1,-9.271875620E-1,-1.080997065E-1
3.076435417E-1,-9.732405543E-1,-5.346381664E-1,-3.531451523E-1
3.183255417E-1,-1.098526001E0,9.947429597E-2,-3.583132923E-1
3.290065417E-1,-1.272240043E0,5.696050525E-1,-3.887042105E-1
3.396875417E-1,-1.462702394E0,7.978233099E-1,-4.435424209E-1
3.503485417E-1,-1.592620492E0,9.747871757E-1,-4.272950292E-1
3.610505417E-1,-1.740562201E0,1.101542234E0,-3.597877920E-1
3.717185417E-1,-1.867241263E0,1.269317627E0,-2.583847642E-1
3.824125417E-1,-1.859702587E0,1.261101246E0,-2.219623625E-1
3.930935417E-1,-1.806402564E0,1.504652143E0,-2.246934325E-1
4.037745417E-1,-1.793179393E0,2.046486855E0,-2.509714067E-1
4.144565417E-1,-1.717552543E0,2.389388084E0,-2.988654375E-1
4.251375417E-1,-1.477770686E0,1.845912695E0,-3.995270729E-1
4.358185417E-1,-1.217231154E0,3.410671353E-1,-6.050224304E-1
4.464995417E-1,-1.416929364E0,-3.845113814E-1,-6.584609151E-1
4.571805417E-1,-1.845487356E0,-1.934426129E-1,-5.573577285E-1
4.678615417E-1,-2.320933580E0,-1.351931691E-1,-4.072094858E-1
4.785235417E-1,-2.743491411E0,-4.067059606E-2,-2.770754397E-1
4.892105417E-1,-2.858055830E0,3.780297339E-1,-2.594918907E-1
4.998765417E-1,-2.879613161E0,7.544247508E-1,-3.793064952E-1
5.105865417E-1,-2.976447821E0,6.729663610E-1,-4.112010598E-1
5.212665417E-1,-3.024379492E0,5.809933543E-1,-3.000199795E-1
5.319485417E-1,-3.022285938E0,6.323348880E-1,-1.417491287E-1
5.426295417E-1,-3.015068531E0,6.136386991E-1,-2.135054022E-2
5.533115417E-1,-2.987736940E0,4.650140405E-1,-3.188192248E-1
5.639925417E-1,-3.028442144E0,4.572432041E-1,-1.020690322E0
5.746735417E-1,-3.123480558E0,6.517064571E-1,-1.592701674E0
5.853545417E-1,-3.193437815E0,9.084378481E-1,-2.078495264E0
5.960265417E-1,-3.233472109E0,1.010737062E0,-2.450388432E0
6.067045417E-1,-3.290487528E0,1.173891902E0,-2.661354780E0
6.173825417E-1,-3.339681387E0,1.201120853E0,-2.686341286E0
6.280735417E-1,-3.328340054E0,1.055340648E0,-2.516235590E0
