"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.444133333E-2,-2.262095947E0,7.005581818E0,5.602100372E0
2.424633333E-2,-2.154619446E0,6.795568542E0,5.784421234E0
3.401533333E-2,-2.017504578E0,6.287075958E0,6.687642975E0
4.381333333E-2,-1.960622864E0,6.161337433E0,7.925718384E0
5.360333333E-2,-2.005679169E0,6.172264709E0,8.508306885E0
6.340533333E-2,-2.104922791E0,6.201004944E0,8.553363190E0
7.318433333E-2,-2.176773376E0,6.361321564E0,8.019872589E0
8.299233333E-2,-2.270328827E0,6.417454834E0,7.327562256E0
9.277233333E-2,-2.307601318E0,6.478827209E0,6.767427063E0
1.025723333E-1,-2.162253571E0,6.564000092E0,6.360573120E0
1.123643333E-1,-1.876348114E0,6.555168457E0,6.112389221E0
1.221633333E-1,-1.777852936E0,6.371500397E0,6.339017944E0
1.319623333E-1,-1.818268890E0,6.220015411E0,6.826703796E0
1.417693333E-1,-1.824705505E0,6.071673889E0,7.256460114E0
1.515363333E-1,-1.522783356E0,6.010600891E0,7.613617401E0
1.613313333E-1,-1.139879608E0,5.980214081E0,7.542066193E0
1.711273333E-1,-1.000070343E0,6.080655212E0,7.389683075E0
1.809233333E-1,-9.204359436E-1,6.214027863E0,7.424111481E0
1.907193333E-1,-9.434880066E-1,6.252797241E0,7.499704285E0
2.005163333E-1,-1.320703583E0,5.943240967E0,7.733817444E0
2.103123333E-1,-1.355880432E0,5.905369720E0,7.721542969E0
2.201083333E-1,-1.099014587E0,6.000571747E0,7.585924988E0
2.299043333E-1,-1.056353302E0,6.010002136E0,7.424410858E0
2.397003333E-1,-1.390608215E0,6.058052216E0,7.370522919E0
2.494663333E-1,-1.624871063E0,6.098019104E0,7.108417969E0
2.592623333E-1,-1.456471252E0,6.101162567E0,7.011868744E0
2.690583333E-1,-1.132694550E0,6.069727936E0,6.984326019E0
2.788543333E-1,-1.091979218E0,6.045927429E0,7.239395599E0
2.886503333E-1,-1.008752289E0,5.872887268E0,7.676786041E0
2.984463333E-1,-9.192384338E-1,5.672603760E0,8.137827301E0
3.082383333E-1,-1.022224274E0,5.547463989E0,8.439749451E0
3.180393333E-1,-1.198108521E0,5.629044342E0,8.594826965E0
3.278353333E-1,-1.221909027E0,5.705834656E0,8.711135101E0
3.376003333E-1,-9.196875000E-1,5.401667175E0,8.757987671E0
3.473963333E-1,-7.283853149E-1,5.257367249E0,8.790021057E0
3.572083333E-1,-7.426057434E-1,5.329517212E0,8.673413544E0
3.670003333E-1,-7.807763672E-1,5.441184998E0,8.504714355E0
3.767853333E-1,-7.470964050E-1,5.456004181E0,8.203091583E0
3.865813333E-1,-4.890330505E-1,5.526357880E0,7.778424683E0
3.963783333E-1,-4.490661621E-3,5.580545197E0,8.021519165E0
4.061733333E-1,3.192860413E-1,5.621859283E0,8.405919800E0
4.159693333E-1,2.118095398E-1,5.601950684E0,8.599766693E0
4.257633333E-1,-7.903564453E-2,5.548362122E0,8.893905029E0
4.355313333E-1,-1.148112488E-1,5.390590210E0,8.920998688E0
4.453273333E-1,1.996847534E-1,5.217999115E0,8.353379059E0
4.551243333E-1,6.300398254E-1,5.129233704E0,7.807314606E0
4.649213333E-1,4.089495850E-1,5.014422455E0,7.741002502E0
4.747123333E-1,-4.168830872E-1,5.289101257E0,7.706125031E0
4.845033333E-1,-9.117539978E-1,5.780978394E0,7.444469147E0
4.942963333E-1,-7.860154724E-1,5.826633453E0,8.112380219E0
