"Time (s)","X (µT)","Y (µT)","Z (µT)"
2.661813333E-1,-4.381794930E-1,-2.311239243E0,-4.268880463E1
2.768733333E-1,-7.832736969E-1,-1.900991440E0,-4.270410919E1
2.875423333E-1,-1.147930145E0,-1.472436905E0,-4.271278763E1
2.982233333E-1,-1.557610035E0,-1.069351196E0,-4.271180725E1
3.089043333E-1,-1.979918003E0,-7.494544983E-1,-4.270112610E1
3.195843333E-1,-2.387700081E0,-5.083236694E-1,-4.268382263E1
3.302663333E-1,-2.789773703E0,-3.331336975E-1,-4.266115570E1
3.409473333E-1,-3.181902885E0,-2.245750427E-1,-4.263441467E1
3.516283333E-1,-3.572384596E0,-1.734580994E-1,-4.260371017E1
3.623103333E-1,-3.980542183E0,-1.561012268E-1,-4.256758118E1
3.729913333E-1,-4.415673256E0,-1.436061859E-1,-4.252468872E1
3.836673333E-1,-4.846553326E0,-1.009235382E-1,-4.247786331E1
3.943533333E-1,-5.284162045E0,1.518058777E-2,-4.242576599E1
4.050203333E-1,-5.284162045E0,1.518058777E-2,-4.242576599E1
4.156933333E-1,-6.201541901E0,1.820964813E-1,-4.230101395E1
4.263663333E-1,-6.201541901E0,1.820964813E-1,-4.230101395E1
4.370473333E-1,-7.185028076E0,5.448913574E-2,-4.214546967E1
4.477283333E-1,-7.656318665E0,-6.179046631E-2,-4.206239700E1
4.584093333E-1,-8.076530457E0,-1.327056885E-1,-4.198357391E1
4.690913333E-1,-8.497111320E0,-1.332569122E-1,-4.190047073E1
4.797723333E-1,-8.926021576E0,-8.555984497E-2,-4.181132507E1
4.904533333E-1,-9.399585724E0,2.132415771E-3,-4.170750427E1
5.011193333E-1,-1.003196239E1,9.274673462E-2,-4.155982590E1
5.118203333E-1,-1.073414326E1,1.698951721E-1,-4.138378143E1
5.224963333E-1,-1.073414326E1,1.698951721E-1,-4.138378143E1
5.331783333E-1,-1.204286385E1,2.136764526E-1,-4.102184296E1
5.438593333E-1,-1.264759445E1,2.413959503E-1,-4.083929443E1
5.545403333E-1,-1.329051495E1,3.160686493E-1,-4.063410568E1
5.652213333E-1,-1.398928833E1,4.739513397E-1,-4.039731598E1
5.759023333E-1,-1.465156937E1,7.350540161E-1,-4.015792847E1
5.865833333E-1,-1.528814125E1,9.957733154E-1,-3.991427231E1
5.972643333E-1,-1.581746864E1,1.208999634E0,-3.970156097E1
6.079463333E-1,-1.615028000E1,1.329025269E0,-3.956349564E1
6.186033333E-1,-1.637819099E1,1.339172363E0,-3.946934891E1
6.293083333E-1,-1.637819099E1,1.339172363E0,-3.946934891E1
6.399593333E-1,-1.682101631E1,1.200799942E0,-3.928714371E1
6.506653333E-1,-1.695168304E1,1.007654190E0,-3.923637390E1
6.613213333E-1,-1.696372414E1,7.416515350E-1,-3.923710251E1
6.720173333E-1,-1.689446640E1,4.150638580E-1,-3.927178192E1
6.826903333E-1,-1.679836082E1,3.349304199E-2,-3.931516266E1
6.933643333E-1,-1.679836082E1,3.349304199E-2,-3.931516266E1
7.040453333E-1,-1.660315895E1,-7.129821777E-1,-3.939155960E1
7.147273333E-1,-1.650525856E1,-9.366760254E-1,-3.942799759E1
7.254083333E-1,-1.645475769E1,-1.059101105E0,-3.944600677E1
7.360923333E-1,-1.646697998E1,-1.160486221E0,-3.943805313E1
7.467703333E-1,-1.646697998E1,-1.160486221E0,-3.943805313E1
7.574513333E-1,-1.643454552E1,-1.511699677E0,-3.943968201E1
7.681323333E-1,-1.633062363E1,-1.776920319E0,-3.947177887E1
7.788143333E-1,-1.632705879E1,-2.073537827E0,-3.945878601E1
7.894953333E-1,-1.645623207E1,-2.407659531E0,-3.938608551E1
8.001763333E-1,-1.659189415E1,-2.760917664E0,-3.930590820E1
8.108553333E-1,-1.664313126E1,-3.100206375E0,-3.925892258E1
8.215383333E-1,-1.673483086E1,-3.385534286E0,-3.919632339E1
8.322193333E-1,-1.673483086E1,-3.385534286E0,-3.919632339E1
8.429003333E-1,-1.704097176E1,-3.764290810E0,-3.902951813E1
8.535533333E-1,-1.730696106E1,-3.757804871E0,-3.891292953E1
8.642633333E-1,-1.730696106E1,-3.757804871E0,-3.891292953E1
8.749133333E-1,-1.819664955E1,-3.270665169E0,-3.854935455E1
8.855953333E-1,-1.857289886E1,-2.711640358E0,-3.841305161E1
8.962763333E-1,-1.898766708E1,-1.900957108E0,-3.825863647E1
