"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
8.215383333E-1,-5.575676560E-1,-6.423043013E-1,-2.515959740E0
8.322193333E-1,-6.627444029E-1,-4.686217010E-1,-2.131184578E0
8.429003333E-1,-7.382076979E-1,-9.358088970E-1,-1.417645812E0
8.535533333E-1,-8.012502789E-1,-1.216418982E0,-6.955012679E-1
8.642633333E-1,-9.840728045E-1,-1.011352420E0,-1.942021698E-1
8.749133333E-1,-1.546149254E0,-9.248327017E-1,-5.334008485E-3
8.855953333E-1,-2.143709660E0,-1.003927827E0,-1.193490028E-1
8.962763333E-1,-2.293626070E0,-4.675595164E-1,-2.010444254E-1
9.069573333E-1,-2.154378891E0,-3.630714417E-1,-3.119989038E-1
9.176353333E-1,-1.853184819E0,-9.728442430E-1,-3.939408958E-1
9.283403333E-1,-1.623743653E0,-1.559815407E0,-3.740402162E-1
9.389993333E-1,-1.698162675E0,-1.808818340E0,-2.177190632E-1
9.496813333E-1,-1.870576024E0,-1.700643659E0,-1.195349768E-1
9.603623333E-1,-1.936150789E0,-1.098654985E0,-1.241816655E-1
9.710513333E-1,-1.753118277E0,-6.618585587E-1,-1.390656084E-1
9.817243333E-1,-1.230527520E0,-6.693212986E-1,-1.399599016E-1
9.924063333E-1,3.235630393E-1,-3.306862414E-1,-1.968349069E-1
1.003087333E0,1.372702360E0,-1.312344074E-1,-4.383047298E-2
1.013768333E0,1.903693795E0,-1.184086680E0,-3.510810435E-2
1.024450333E0,1.925890684E0,-1.937236309E0,3.861099780E-1
1.035131333E0,1.648640394E0,-2.439048529E0,8.084902167E-1
1.045812333E0,1.519023538E0,-2.698377609E0,1.021396875E0
1.056493333E0,1.386725783E0,-2.961490870E0,6.707765460E-1
1.067172333E0,1.128481150E0,-2.893222332E0,-2.318769097E-1
1.077855333E0,1.048715234E0,-2.731099606E0,-7.274128795E-1
1.088528333E0,1.135563254E0,-1.884050488E0,-9.342798591E-1
1.099218333E0,1.168446898E0,-1.282289505E0,-1.213875294E0
