,acc_phone_x,acc_phone_y,acc_phone_z,acc_watch_x,acc_watch_y,acc_watch_z,gyr_phone_x,gyr_phone_y,gyr_phone_z,gyr_watch_x,gyr_watch_y,gyr_watch_z,hr_watch_rate,labelOnTable,labelSitting,labelWashingHands,labelWalking,labelStanding,labelDriving,labelEating,labelRunning,light_phone_lux,mag_phone_x,mag_phone_y,mag_phone_z,mag_watch_x,mag_watch_y,mag_watch_z,press_phone_pressure
2016-02-08 18:28:25.656222395,-0.09672652116402115,0.15662996031746032,9.625698082010583,9.551050637659415,0.19857201800450114,1.5106451612903227,-0.009320330578512398,0.01866809917355372,0.012669090909090913,0.0019253563390847716,0.007543885971492874,-0.016895348837209306,158.2,0,0,0,0,0,0,0,0,1084.3142857142857,-78.78576612903225,-139.19971774193547,-25.176370967741942,-6.414478353442157,59.28246983676366,-23.532292405961677,1029.281436619718
2016-02-08 18:28:40.656222395,-0.07191892786234282,0.11146029119788219,9.619134017207148,9.55190158970477,0.19923580620741865,1.5097778198334593,-0.008470218398411649,0.018913302448709462,-0.00019556585043017867,0.0019015897047691146,0.007456093868281607,-0.016871309613928843,154.8,1,0,0,0,0,0,0,0,1104.2676056338028,-129.46158139534884,-106.5666976744186,47.557674418604655,-6.355956678700361,59.16245487364621,-23.410108303249096,1029.2448450704228
2016-02-08 18:28:55.656222395,-0.07097154202514891,0.11314195896757118,9.619795168762408,9.550461016949154,0.19905612052730692,1.5127160075329567,-0.00849867637326274,0.018773659827928526,0.00013170086035737923,0.0019340866290018831,0.007458003766478344,-0.016877966101694918,147.06896551724137,1,0,0,0,0,0,0,0,1103.9718309859154,-130.1070259481038,-107.36986027944113,47.47712574850299,-6.331690140845071,59.30774647887324,-23.49014084507042,1029.247295774648
2016-02-08 18:29:10.656222395,-0.06968199867637327,0.11488186631369954,9.619479152878888,9.551461712561297,0.19842927197284047,1.5131233496793663,-0.008521508934480478,0.018542025148908004,0.0005373924553275976,0.0018611844586948324,0.007386269332327425,-0.01681629573745757,145.2,1,0,0,0,0,0,0,0,1103.5492957746478,-129.24988704318937,-106.66552823920266,47.5540465116279,-6.397581792318634,59.285917496443815,-23.2972972972973,1029.2874788732393
2016-02-08 18:29:25.656222395,-0.0672666225603705,0.11587562024478995,9.61964207740655,9.549801503759397,0.19641466165413532,1.5118706766917294,-0.008477829252150895,0.01884348113831899,0.0005158835208471212,0.0018507518796992484,0.007570676691729325,-0.016855639097744367,149.68421052631578,1,0,0,0,0,0,0,0,1075.3661971830986,-129.68066489361703,-106.90815159574468,47.42230053191489,-6.432125088841507,59.30561478322672,-23.45273631840796,1029.2723239436618
2016-02-08 18:29:40.656222395,-0.18558054912338737,0.17016242143565993,9.62271286801191,9.550148190045249,0.19723001508295626,1.5119189291101056,-0.00790370615486433,0.018576770350761083,-0.055113500992720055,0.001883484162895928,0.007504901960784316,-0.016782805429864257,158.16,1,0,0,0,0,0,0,0,710.4084507042254,-48.57336877076413,-138.61558803986713,-29.02178073089701,-6.440714285714286,59.332142857142856,-23.277142857142856,1029.2511408450707
2016-02-08 18:29:55.656222395,-0.19739827985444922,0.18288752894475682,9.617891829308634,9.550843166542194,0.1996191187453323,1.5110104555638535,-0.00857327158451869,0.018983460138934833,0.0005898114455838571,0.0019088872292755792,0.007550784167289023,-0.016876400298730398,160.67857142857142,1,0,0,0,0,0,0,0,758.2638888888889,-39.76436170212766,-139.50275265957447,-36.89198138297872,-6.378378378378378,59.35704125177809,-23.450213371266003,1029.2735555555555
2016-02-08 18:30:10.656222395,-0.197874627853126,0.18107211379424412,9.622505788951372,9.55225817361894,0.19630627583615184,1.5132352499060504,-0.00862454515382071,0.019057227919285477,0.0005305987429705591,0.0019086809470124015,0.0075527996993611434,-0.016880496054115,145.92307692307693,1,0,0,0,0,0,0,0,1068.6901408450703,-40.38235215946844,-140.18360132890365,-36.93424584717607,-6.379675370501059,59.31122088920254,-23.333098094565983,1029.221661971831
2016-02-08 18:30:25.656222395,-0.19811283917935144,0.18043381866313699,9.620721376571806,9.549793918918919,0.19984984984984988,1.5128472222222225,-0.008524818001323629,0.019181005956320316,0.00023163467902051623,0.001869744744744745,0.007494744744744746,-0.016836711711711715,138.56,1,0,0,0,0,0,0,0,412.0281690140845,-39.95784574468085,-139.69316489361702,-36.978989361702126,-6.396415770609319,59.40286738351254,-23.482437275985664,1029.2703661971832
2016-02-08 18:30:40.656222395,-0.19879801652892562,0.18249190082644628,9.618442975206612,9.549807692307692,0.1989264705882353,1.5113891402714932,-0.00858115702479339,0.019076694214876032,0.00047074380165289254,0.0018442684766214181,0.007537330316742083,-0.01678355957767723,153.07142857142858,1,0,0,0,0,0,0,0,25.75,-39.723627906976745,-139.4262458471761,-36.941421926910294,-6.381870092790864,59.29122055674518,-23.29336188436831,1029.275222222222
