"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
8.157759167E-1,-5.222639465E-1,-1.736838226E0,9.106463013E0
8.255419167E-1,1.353186035E-1,-2.090253296E0,9.701475677E0
8.353069167E-1,-1.648072815E-1,-2.513423309E0,1.041085052E1
8.450739167E-1,-8.855584717E-1,-2.480491791E0,1.102966370E1
8.548379167E-1,-1.941013641E0,-1.912123718E0,1.126198059E1
8.646039167E-1,-2.936593323E0,-1.977238312E0,1.073777069E1
8.743699167E-1,-3.511547699E0,-2.276915131E0,9.865384827E0
8.841349167E-1,-3.448229370E0,-2.585423584E0,9.215885468E0
8.939009167E-1,-2.962339783E0,-2.822979584E0,9.084608459E0
9.036969167E-1,-1.920955353E0,-3.022963715E0,9.875563660E0
9.134629167E-1,-1.343156891E0,-3.236569519E0,1.067115921E1
9.232279167E-1,-1.813329163E0,-3.203188934E0,1.098086517E1
9.329939167E-1,-3.127446442E0,-3.034789124E0,1.104328537E1
9.427599167E-1,-4.313579865E0,-2.869832153E0,1.065319656E1
9.525269167E-1,-4.643044739E0,-3.165467377E0,9.557026062E0
9.622909167E-1,-3.996090088E0,-3.433709564E0,8.039182434E0
9.720559167E-1,-3.018323364E0,-3.920646973E0,7.316036224E0
9.818219167E-1,-2.270927582E0,-4.554129639E0,7.896678772E0
9.916189167E-1,-2.124681702E0,-5.228477325E0,9.566157074E0
1.001383917E0,-2.620001678E0,-5.482798462E0,1.133517838E1
1.011143917E0,-3.535797272E0,-5.156477051E0,1.233704498E1
1.020936417E0,-4.432582397E0,-4.711003418E0,1.246877106E1
1.030701417E0,-5.217100983E0,-4.654421082E0,1.121931931E1
1.040467417E0,-5.222489777E0,-5.090015259E0,9.410929871E0
1.050238417E0,-4.900359650E0,-5.764213257E0,7.780220947E0
1.060004417E0,-4.480183411E0,-6.551725616E0,6.960974579E0
1.069793417E0,-3.988455963E0,-7.048243103E0,6.661297760E0
1.079535417E0,-3.326831818E0,-7.340734863E0,6.279890900E0
1.089331417E0,-3.325484619E0,-7.589068451E0,5.456004181E0
1.099097417E0,-3.615281982E0,-7.691305847E0,5.088967438E0
1.108862417E0,-3.705693970E0,-7.642657013E0,5.103786621E0
1.118628417E0,-3.662284241E0,-7.692203979E0,5.071603546E0
1.128402417E0,-3.610042877E0,-7.886499939E0,4.894072723E0
1.138159417E0,-2.988684998E0,-8.224347382E0,4.894521790E0
1.147925417E0,-2.490221558E0,-8.651259613E0,5.073549500E0
1.157691417E0,-2.679128723E0,-8.536298676E0,5.394781494E0
1.167456417E0,-2.856958923E0,-8.078101501E0,6.112239532E0
1.177252417E0,-2.715802460E0,-7.949967957E0,6.684200134E0
1.187002417E0,-2.425855408E0,-8.309071198E0,6.973099365E0
1.196783417E0,-1.967658234E0,-8.760233002E0,7.290439453E0
1.206550417E0,-1.965412903E0,-8.779991913E0,6.934479675E0
1.216315417E0,-2.284549255E0,-8.397387543E0,6.323001251E0
1.226094417E0,-2.431244202E0,-8.275540924E0,5.531297607E0
1.235860417E0,-2.303410034E0,-8.344397736E0,4.383484497E0
1.245611417E0,-2.114053802E0,-8.454269257E0,3.487148438E0
1.255377417E0,-1.520837402E0,-8.884624329E0,2.519710236E0
1.265156417E0,-9.201365662E-1,-9.337582397E0,1.848805389E0
1.274923417E0,-1.316362610E0,-9.457333374E0,1.351090393E0
1.284691417E0,-2.319127350E0,-9.519154816E0,9.530680847E-1
1.294464417E0,-2.567610626E0,-9.397607574E0,2.933898926E-1
1.304226417E0,-2.020348663E0,-9.559421082E0,2.285746765E-1
1.314015417E0,-2.187251587E0,-9.801018677E0,6.502478027E-1
1.323772417E0,-2.980152740E0,-1.029618896E1,1.363813934E0
1.333543417E0,-3.936214600E0,-1.036489609E1,1.604363708E0
1.343316417E0,-4.882846069E0,-1.009470795E1,1.464255066E0
1.353077417E0,-5.615871735E0,-9.642498322E0,6.432124329E-1
