,acc_phone_X,acc_phone_Y,acc_phone_Z,gyr_phone_X,gyr_phone_Y,gyr_phone_Z,light_phone_Illuminance,press_phone_Millibars,pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,pca_7,label
0,6.047277021599282e+166,8.656306532072254e+168,4.293504838714878e+168,-1.4999733772741368e+166,2.432007436373929e+166,-2.408285280630522e+166,195.7,1022.0267914285712,-0.2573780226801429,2.453159641846874,0.0075935384480289,0.0135649178819544,0.0016126392295732,0.0003739438339503,1.0363266824908736e-05,Walking
1,5.793272672659421e+166,8.282911042573486e+168,4.108999180382344e+168,-1.4363698845189722e+166,2.3301148183463616e+166,-2.3053970548232035e+166,195.7,1022.027073,-0.2550359197771413,2.349708528877769,0.0194043397567215,0.0118130939206814,0.0012803784361601,0.0002650806416066,9.253086294125357e-06,Walking
2,5.5499079408444725e+166,7.925504186608186e+168,3.932407157165706e+168,-1.3754681271813274e+166,2.232512743111064e+166,-2.2069125464688e+166,195.7,1022.030224,-0.2560810702214041,2.2505730091518483,0.0307450774879637,0.0101688935398704,0.0009810205436181,0.0001722039247017,7.705173840855117e-06,Walking
3,5.316736694685886e+166,7.583408477735549e+168,3.7633914737401723e+168,-1.3171528057130452e+166,2.1390192834086423e+166,-2.1126429880578542e+166,195.7,1021.999587,-0.2186819420616857,2.1565972799539823,0.0412339343827842,0.0086244427080878,0.0007130557955225,9.36018346346841e-05,5.897681190580872e-06,Walking
4,5.093331615579645e+166,7.255974747146264e+168,3.60162908056708e+168,-1.261313579311699e+166,2.0494602664126582e+166,-2.022407699608885e+166,195.7,1022.014466,-0.2333210879014123,2.065372155982481,0.0517634248026876,0.0071814169709371,0.000472822363743,2.8070541612967824e-05,3.864664251396199e-06,Walking
5,4.879283395840038e+166,6.942580981356073e+168,3.446810577862982e+168,-1.207844850847754e+166,1.963668943787749e+166,-1.936033742823377e+166,195.7,1022.010686,-0.2267693777497061,1.9785312601514335,0.061647347742294,0.005830046053695,0.0002595755305313,-2.5953963045322823e-05,1.7779692603747677e-06,Walking
6,4.6741999715379694e+166,6.642631206577548e+168,3.298639644322009e+168,-1.1566455611359242e+166,1.8814856756235563e+166,-1.8533555900332235e+166,195.7,1021.999573,-0.2119457406376379,1.8955920880829569,0.0710289626169329,0.0045668294468586,7.120067365288595e-05,-6.967772107006966e-05,-2.88243225898821e-07,Walking
7,4.4777057885763486e+166,6.355554417910352e+168,3.156832489564673e+168,-1.1076189921516412e+166,1.802757627669797e+166,-1.7742148073081527e+166,195.7,1022.02021,-0.2334404743434056,1.815298456698128,0.0803559801875882,0.0033906700689275,-9.485741519341188e-05,-0.0001041143309554,-2.3045766776585985e-06,Walking
8,4.2894411005256436e+166,6.080803551569027e+168,3.0211173293295136e+168,-1.0606725788098778e+166,1.7273384813217223e+166,-1.6984597511171114e+166,195.7,1022.029937,-0.2425739526826806,1.7386997972949962,0.089176416755511,0.0022940108857666,-0.0002394573614624,-0.0001304547402365,-4.166728941490394e-06,Walking
9,4.109061296810089e+166,5.817854498442219e+168,2.891233882465356e+168,-1.015717728939222e+166,1.6550881558279655e+166,-1.625945277962908e+166,195.7,1022.009906,-0.2178365940310969,1.6661822343323105,0.0972994224743991,0.001271372499044,-0.0003638296799985,-0.000149723761085,-5.808411375263223e-06,Walking
10,3.936236259899508e+166,5.566205157348296e+168,2.7669328888217183e+168,-9.72669651099123e+165,1.5858725422145714e+166,-1.5565324664337347e+166,195.7,1022.0100960000004,-0.2162517032083602,1.596202308729679,0.1052903454959222,0.000322992110412,-0.0004704611723033,-0.0001626368677278,-7.248844935969778e-06,Walking
11,3.770649750223168e+166,5.325374526419752e+168,2.6479756471730384e+168,-9.314471899027064e+165,1.5195632484398678e+166,-1.490088351138601e+166,195.7,1021.982215,-0.182713922703428,1.5299861982886362,0.1126331726542857,-0.0005587005657975,-0.0005598309876289,-0.0001701597279896,-8.410932656022219e-06,Walking
12,3.611998817580729e+166,5.094901831112939e+168,2.534133572348838e+168,-8.919726685215349e+165,1.4560373553148128e+166,-1.4264856680162647e+166,195.7,1021.999017,-0.2002334986791663,1.4653613777786338,0.1201424028772737,-0.0013713408900996,-0.0006347035467856,-0.0001727865008873,-9.357333907389354e-06,Walking
13,3.459993237881341e+166,4.874345687400725e+168,2.425187770776688e+168,-8.541717380621613e+165,1.3951771827425588e+166,-1.3656026105289744e+166,195.7,1022.028376,-0.2321510257107829,1.4031103449391091,0.1274785496064741,-0.0021209134902359,-0.0006957138870919,-0.0001712936832781,-1.0045124222368695e-05,Walking
14,3.314354974095268e+166,4.663283298763872e+168,2.3209286336779133e+168,-8.179732335172786e+165,1.3368700658493388e+166,-1.3073225962732108e+166,195.7,1022.058323,-0.2648066963274608,1.3434538405786105,0.1345232078139246,-0.0028116385100401,-0.0007438165469765,-0.0001663302769681,-1.0460025279879217e-05,Walking
15,3.1748176603534364e+166,4.461309685652348e+168,2.2211554471875146e+168,-7.833090360066722e+165,1.2810081405963488e+166,-1.2515340435596444e+166,0.0,1022.064145,-0.2719779354372332,1.2537712495330564,-0.149166608811666,-0.0016709696111542,-0.0007437879098208,-0.0001678536967687,-1.1475579237585354e-05,Walking
16,3.04112610817886e+166,4.26803694614073e+168,2.1256760186998053e+168,-7.501139410350801e+165,1.227488138479126e+166,-1.1981301575337596e+166,0.3,1022.068932,-0.2760486068628796,1.199767230698114,-0.1425122723433264,-0.0022580943667478,-0.0007688993476357,-0.000157628812199,-1.1333676477320864e-05,Walking
17,2.913035833880095e+166,4.0830935465522964e+168,2.034306318769974e+168,-7.183255325054459e+165,1.1762111899370126e+166,-1.147008725427034e+166,0.6,1022.0637390000004,-0.2687909506510653,1.1483360336883586,-0.136229259751772,-0.0027962162762472,-0.0007840480732931,-0.0001454743108752,-1.093558751774637e-05,Walking
18,2.7903126061808976e+166,3.906123640874616e+168,1.9468701379292317e+168,-6.878840622369802e+165,1.127082636110694e+166,-1.0980719205462604e+166,0.8,1022.103956,-0.3134043628439771,1.0978054924947829,-0.1298456114352409,-0.0032826983601723,-0.0007912222425576,-0.0001316186684683,-1.035905381316371e-05,Walking
19,2.672732013202176e+166,3.7367864178354632e+168,1.8631987577975105e+168,-6.587323347479374e+165,1.0800118486005415e+166,-1.0512261146255172e+166,1.1,1022.044805,-0.2446903622893749,1.05218802434322,-0.1246462621447611,-0.003733709424994,-0.0007884917965226,-0.0001168979851479,-9.466787242867758e-06,Walking
