,acc_phone_X,acc_phone_Y,acc_phone_Z,gyr_phone_X,gyr_phone_Y,gyr_phone_Z,light_phone_Illuminance,press_phone_Millibars,labelCycling,labelOnTable,labelScreenTime,labelSitting,labelWalking,labelYardwork,pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,pca_7
2021-06-04 19:15:25,6.047277021599282e+166,8.656306532072254e+168,4.293504838714878e+168,-1.4999733772741368e+166,2.4320074363739294e+166,-2.408285280630522e+166,195.7,1022.0267914285713,0,0,0,0,1,0,-0.2573780226801429,2.4531596418468746,0.007593538448028986,0.013564917881954464,0.0016126392295732952,0.00037394383395039616,1.0363266824908735e-05
2021-06-04 19:15:26,5.793272672659421e+166,8.282911042573486e+168,4.108999180382344e+168,-1.4363698845189722e+166,2.3301148183463616e+166,-2.3053970548232035e+166,195.7,1022.027073,0,0,0,0,1,0,-0.25503591977714135,2.349708528877769,0.01940433975672151,0.011813093920681417,0.0012803784361601538,0.00026508064160668526,9.253086294125357e-06
2021-06-04 19:15:27,5.5499079408444725e+166,7.925504186608186e+168,3.932407157165706e+168,-1.3754681271813274e+166,2.2325127431110637e+166,-2.2069125464688e+166,195.7,1022.030224,0,0,0,0,1,0,-0.2560810702214041,2.2505730091518483,0.03074507748796372,0.010168893539870494,0.0009810205436181847,0.0001722039247017091,7.705173840855117e-06
2021-06-04 19:15:28,5.316736694685886e+166,7.583408477735549e+168,3.7633914737401723e+168,-1.3171528057130453e+166,2.1390192834086423e+166,-2.1126429880578542e+166,195.7,1021.999587,0,0,0,0,1,0,-0.21868194206168573,2.1565972799539823,0.04123393438278422,0.00862444270808782,0.000713055795522588,9.36018346346841e-05,5.897681190580872e-06
2021-06-04 19:15:29,5.093331615579645e+166,7.255974747146264e+168,3.6016290805670795e+168,-1.261313579311699e+166,2.049460266412658e+166,-2.022407699608885e+166,195.7,1022.014466,0,0,0,0,1,0,-0.23332108790141237,2.065372155982481,0.05176342480268764,0.0071814169709371045,0.00047282236374307203,2.8070541612967824e-05,3.864664251396199e-06
2021-06-04 19:15:30,4.879283395840038e+166,6.942580981356073e+168,3.446810577862982e+168,-1.207844850847754e+166,1.963668943787749e+166,-1.936033742823377e+166,195.7,1022.010686,0,0,0,0,1,0,-0.22676937774970615,1.9785312601514338,0.06164734774229405,0.005830046053695026,0.00025957553053130986,-2.5953963045322823e-05,1.7779692603747677e-06
2021-06-04 19:15:31,4.6741999715379694e+166,6.642631206577548e+168,3.2986396443220087e+168,-1.1566455611359242e+166,1.8814856756235563e+166,-1.8533555900332235e+166,195.7,1021.999573,0,0,0,0,1,0,-0.21194574063763796,1.8955920880829566,0.07102896261693298,0.004566829446858656,7.120067365288595e-05,-6.967772107006966e-05,-2.88243225898821e-07
2021-06-04 19:15:32,4.4777057885763486e+166,6.355554417910352e+168,3.1568324895646727e+168,-1.1076189921516412e+166,1.802757627669797e+166,-1.7742148073081527e+166,195.7,1022.02021,0,0,0,0,1,0,-0.2334404743434056,1.8152984566981276,0.08035598018758824,0.0033906700689275704,-9.485741519341187e-05,-0.00010411433095542597,-2.3045766776585985e-06
2021-06-04 19:15:33,4.2894411005256436e+166,6.080803551569027e+168,3.0211173293295136e+168,-1.0606725788098778e+166,1.7273384813217223e+166,-1.6984597511171114e+166,195.7,1022.029937,0,0,0,0,1,0,-0.2425739526826806,1.7386997972949962,0.08917641675551108,0.002294010885766695,-0.00023945736146249445,-0.0001304547402365824,-4.166728941490394e-06
2021-06-04 19:15:34,4.109061296810089e+166,5.817854498442219e+168,2.891233882465356e+168,-1.015717728939222e+166,1.6550881558279655e+166,-1.625945277962908e+166,195.7,1022.009906,0,0,0,0,1,0,-0.21783659403109693,1.6661822343323105,0.0972994224743991,0.0012713724990440212,-0.00036382967999859734,-0.00014972376108503843,-5.808411375263223e-06
